content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,27,DIR,0.0458,1,5306.0000,60.6580
MESSAGING,27,HEU,33.8213,1,653.0000,86.3603
MESSAGING,27,MST,13.1638,1,646.0000,87.6401
MESSAGING,33,DIR,0.0472,1,6203.0000,58.9473
MESSAGING,33,HEU,45.5816,1,656.0000,83.5516
MESSAGING,33,MST,14.0514,1,649.0000,84.6333
MESSAGING,39,DIR,0.0639,1,7344.0000,57.3470
MESSAGING,39,HEU,62.5136,1,660.0000,84.1487
MESSAGING,39,MST,14.3397,1,650.0000,91.2469
MESSAGING,45,DIR,0.0653,1,8483.0000,57.3428
MESSAGING,45,HEU,66.1783,1,658.0000,86.4542
MESSAGING,45,MST,14.8354,1,647.0000,93.6178
VIDEO,4,DIR,0.2060,1,632.0000,59.1016
VIDEO,4,HEU,7.1814,1,379.0000,67.7502
VIDEO,4,ILP,14488.7249,1,378.0000,69.3174
VIDEO,4,MST,11.4079,1,379.0000,67.7502
VIDEO,10,DIR,0.0167,1,1402.0000,51.7444
VIDEO,10,HEU,8.1162,1,389.0000,66.8699
VIDEO,10,ILP,962041.9185,1,385.0000,64.3627
VIDEO,10,MST,10.8342,1,388.0000,65.3443
VIDEO,16,DIR,0.0305,1,2789.0000,51.4072
VIDEO,16,HEU,14.8396,1,642.0000,77.7114
VIDEO,16,MST,12.2669,1,640.0000,77.9020
VIDEO,22,DIR,0.0362,1,4175.0000,57.6934
VIDEO,22,HEU,24.2369,1,650.0000,82.4274
VIDEO,22,MST,12.5830,1,646.0000,86.7600
VIDEO,28,DIR,0.0439,1,5309.0000,60.1444
VIDEO,28,HEU,32.7895,1,653.0000,85.3832
VIDEO,28,MST,13.2308,1,646.0000,86.1391
VIDEO,34,DIR,0.0508,1,6329.0000,58.5321
VIDEO,34,HEU,43.0028,1,656.0000,84.9713
VIDEO,34,MST,13.5372,1,649.0000,84.5369
VIDEO,40,DIR,0.0575,1,7474.0000,57.1002
VIDEO,40,HEU,52.6505,1,660.0000,83.3232
VIDEO,40,MST,14.3638,1,650.0000,90.3498
VIDEO,46,DIR,0.0660,1,8612.0000,57.2433
VIDEO,46,HEU,64.9960,1,659.0000,86.1224
VIDEO,46,MST,15.3089,1,648.0000,93.0857
AUDIO,4,DIR,0.0138,1,632.0000,59.1016
AUDIO,4,HEU,3.1312,1,379.0000,67.7502
AUDIO,4,ILP,11468.5507,1,378.0000,69.3174
AUDIO,4,MST,10.9119,1,379.0000,67.7502
AUDIO,10,DIR,0.0215,1,1402.0000,51.7444
AUDIO,10,HEU,8.7283,1,389.0000,66.8699
AUDIO,10,ILP,844101.6717,1,385.0000,64.3627
AUDIO,10,MST,11.2653,1,388.0000,65.3443
AUDIO,16,DIR,0.0269,1,2789.0000,51.4072
AUDIO,16,HEU,15.2283,1,642.0000,77.7114
AUDIO,16,MST,12.9564,1,640.0000,77.9020
AUDIO,22,DIR,0.0451,1,4175.0000,57.6934
AUDIO,22,HEU,26.6778,1,650.0000,82.4274
AUDIO,22,MST,12.5747,1,646.0000,86.7600
AUDIO,28,DIR,0.0398,1,5309.0000,60.1444
AUDIO,28,HEU,33.0951,1,654.0000,84.6847
AUDIO,28,MST,13.0551,1,646.0000,86.1391
AUDIO,34,DIR,0.0596,1,6329.0000,58.5321
AUDIO,34,HEU,44.1203,1,657.0000,83.7954
AUDIO,34,MST,13.2575,1,649.0000,84.5369
AUDIO,40,DIR,0.0572,1,7474.0000,57.1002
AUDIO,40,HEU,54.1124,1,661.0000,82.3561
AUDIO,40,MST,14.1199,0,0.0000,0.0000
AUDIO,46,DIR,0.0827,1,8612.0000,57.2433
AUDIO,46,HEU,70.6637,1,660.0000,83.3410
AUDIO,46,MST,15.4727,0,0.0000,0.0000
MESSAGING,4,DIR,0.0155,1,632.0000,59.1016
MESSAGING,4,HEU,3.0837,1,379.0000,67.7502
MESSAGING,4,ILP,19890.3637,1,378.0000,69.3174
MESSAGING,4,MST,11.7996,1,379.0000,67.7502
MESSAGING,10,DIR,0.0217,1,1402.0000,51.7444
MESSAGING,10,HEU,10.0024,1,389.0000,66.8699
MESSAGING,10,ILP,1074568.5973,1,385.0000,64.3627
MESSAGING,10,MST,11.3356,1,388.0000,65.3443
MESSAGING,16,DIR,0.0298,1,2789.0000,51.4072
MESSAGING,16,HEU,15.4932,1,642.0000,77.7114
MESSAGING,16,MST,13.8321,1,640.0000,77.9020
MESSAGING,22,DIR,0.0429,1,4175.0000,57.6934
MESSAGING,22,HEU,30.4365,1,650.0000,82.4274
MESSAGING,22,MST,14.3666,1,646.0000,86.7600
MESSAGING,28,DIR,0.0546,1,5309.0000,60.1444
MESSAGING,28,HEU,43.1621,1,653.0000,85.3832
MESSAGING,28,MST,15.1734,1,646.0000,86.1391
MESSAGING,34,DIR,0.0536,1,6329.0000,58.5321
MESSAGING,34,HEU,53.4704,1,656.0000,84.9713
MESSAGING,34,MST,14.6554,1,649.0000,84.5369
MESSAGING,40,DIR,0.0613,1,7474.0000,57.1002
MESSAGING,40,HEU,62.3934,1,660.0000,83.3232
MESSAGING,40,MST,15.8398,1,650.0000,90.3498
MESSAGING,46,DIR,0.0718,1,8612.0000,57.2433
MESSAGING,46,HEU,73.4119,1,659.0000,86.1224
MESSAGING,46,MST,16.3398,1,648.0000,93.0857
VIDEO,5,DIR,0.2468,1,885.0000,59.4711
VIDEO,5,HEU,8.8859,1,504.0000,83.6852
VIDEO,5,ILP,24163.5685,1,378.0000,70.8416
VIDEO,5,MST,11.7738,1,379.0000,68.9998
VIDEO,11,DIR,0.0184,1,1653.0000,50.2964
VIDEO,11,HEU,9.9010,1,513.0000,68.0137
VIDEO,11,ILP,1231201.3459,1,509.0000,66.0133
VIDEO,11,MST,10.5743,1,512.0000,67.1104
VIDEO,17,DIR,0.0246,1,3040.0000,54.0543
VIDEO,17,HEU,15.7351,1,643.0000,79.4488
VIDEO,17,MST,12.4133,1,641.0000,81.1164
VIDEO,23,DIR,0.0327,1,4426.0000,58.0904
VIDEO,23,HEU,26.1095,1,651.0000,86.4871
VIDEO,23,MST,12.3892,1,647.0000,88.9836
VIDEO,29,DIR,0.0362,1,5440.0000,59.8404
VIDEO,29,HEU,35.3251,1,654.0000,84.6305
VIDEO,29,MST,13.6216,1,647.0000,85.2401
VIDEO,35,DIR,0.0446,1,6458.0000,58.2490
VIDEO,35,HEU,45.0139,1,657.0000,82.8230
VIDEO,35,MST,12.8927,1,650.0000,89.0417
VIDEO,41,DIR,0.0482,1,7725.0000,57.3108
VIDEO,41,HEU,52.3551,1,660.0000,85.3634
VIDEO,41,MST,14.0214,1,650.0000,92.0319
