content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,24,HEU,74.0669,1,648.0000,68.4499
VIDEO,24,MST,15.3289,1,519.0000,56.4802
AUDIO,24,DIR,0.0491,1,3017.0000,32.7124
AUDIO,24,HEU,26.0577,1,648.0000,68.4499
AUDIO,24,MST,14.7207,1,519.0000,56.4802
MESSAGING,24,DIR,0.0968,1,3017.0000,32.7124
MESSAGING,24,HEU,49.8641,1,648.0000,68.4499
MESSAGING,24,MST,32.3384,1,519.0000,56.4802
VIDEO,25,DIR,0.3519,1,3267.0000,34.4979
VIDEO,25,HEU,55.2623,1,648.0000,69.3634
VIDEO,25,MST,31.6238,1,519.0000,59.4942
AUDIO,25,DIR,0.0694,1,3267.0000,34.4979
AUDIO,25,HEU,59.1562,1,648.0000,69.3634
AUDIO,25,MST,29.8123,1,519.0000,59.4942
MESSAGING,25,DIR,0.0420,1,3267.0000,34.4979
MESSAGING,25,HEU,43.6385,1,648.0000,69.3634
MESSAGING,25,MST,15.0337,1,519.0000,59.4942
VIDEO,26,DIR,0.2334,1,3392.0000,34.5470
VIDEO,26,HEU,63.2682,1,522.0000,53.8132
VIDEO,26,MST,17.3409,1,520.0000,58.8235
AUDIO,26,DIR,0.0675,1,3392.0000,34.5470
AUDIO,26,HEU,43.4043,1,522.0000,53.8132
AUDIO,26,MST,26.1118,1,520.0000,58.8235
MESSAGING,26,DIR,0.0739,1,3392.0000,34.5470
MESSAGING,26,HEU,78.1996,1,522.0000,53.8132
MESSAGING,26,MST,30.0558,1,520.0000,58.8235
VIDEO,27,DIR,0.3276,1,3641.0000,35.8618
VIDEO,27,HEU,50.0443,1,523.0000,56.3688
VIDEO,27,MST,31.8890,1,521.0000,61.4262
AUDIO,27,DIR,0.0770,1,3641.0000,35.8618
AUDIO,27,HEU,47.0154,1,523.0000,56.3688
AUDIO,27,MST,13.7625,1,521.0000,61.4262
MESSAGING,27,DIR,0.0968,1,3641.0000,35.8618
MESSAGING,27,HEU,44.9755,1,523.0000,56.3688
MESSAGING,27,MST,15.7309,1,521.0000,61.4262
VIDEO,28,DIR,0.3254,1,3890.0000,36.4699
VIDEO,28,HEU,67.8923,1,523.0000,57.4263
VIDEO,28,MST,31.3230,1,521.0000,62.5308
AUDIO,28,DIR,0.0451,1,3890.0000,36.4699
AUDIO,28,HEU,29.2511,1,523.0000,57.4263
AUDIO,28,MST,30.3707,1,521.0000,62.5308
MESSAGING,28,DIR,0.0794,1,3890.0000,36.4699
MESSAGING,28,HEU,64.0845,1,523.0000,57.4263
MESSAGING,28,MST,39.0334,1,521.0000,62.5308
VIDEO,29,DIR,0.3006,1,4139.0000,37.2482
VIDEO,29,HEU,70.0741,1,523.0000,57.6634
VIDEO,29,MST,32.5580,1,521.0000,62.7643
AUDIO,29,DIR,0.0448,1,4139.0000,37.2482
AUDIO,29,HEU,64.6493,1,523.0000,57.6634
AUDIO,29,MST,14.5605,1,521.0000,62.7643
MESSAGING,29,DIR,0.1068,1,4139.0000,37.2482
MESSAGING,29,HEU,77.1303,1,523.0000,57.6634
MESSAGING,29,MST,30.5598,1,521.0000,62.7643
VIDEO,30,DIR,0.3281,1,4387.0000,38.2142
VIDEO,30,HEU,70.9994,1,523.0000,59.2168
VIDEO,30,MST,32.7752,1,521.0000,64.8341
AUDIO,30,DIR,0.0527,1,4387.0000,38.2142
AUDIO,30,HEU,56.7026,1,523.0000,59.2168
AUDIO,30,MST,14.1878,1,521.0000,64.8341
MESSAGING,30,DIR,0.0808,1,4387.0000,38.2142
MESSAGING,30,HEU,64.4436,1,523.0000,59.2168
MESSAGING,30,MST,28.5072,1,521.0000,64.8341
VIDEO,31,DIR,0.4346,1,4637.0000,39.4189
VIDEO,31,HEU,75.6283,1,523.0000,61.6635
VIDEO,31,MST,15.6136,1,521.0000,75.0233
AUDIO,31,DIR,0.0756,1,4637.0000,39.4189
AUDIO,31,HEU,53.0310,1,523.0000,61.6635
AUDIO,31,MST,30.0136,0,0.0000,0.0000
MESSAGING,31,DIR,0.0901,1,4637.0000,39.4189
MESSAGING,31,HEU,69.6118,1,523.0000,61.6635
MESSAGING,31,MST,15.3196,1,521.0000,75.0233
VIDEO,32,DIR,0.3068,1,4886.0000,40.5797
VIDEO,32,HEU,73.3595,1,523.0000,63.5395
VIDEO,32,MST,33.7596,1,519.0000,72.7957
AUDIO,32,DIR,0.0587,1,4886.0000,40.5797
AUDIO,32,HEU,74.0428,1,523.0000,63.5395
AUDIO,32,MST,14.1342,1,519.0000,72.7957
MESSAGING,32,DIR,0.0532,1,4886.0000,40.5797
MESSAGING,32,HEU,60.8134,1,523.0000,63.5395
MESSAGING,32,MST,59.2935,1,519.0000,72.7957
VIDEO,33,DIR,0.3669,1,5134.0000,41.3493
VIDEO,33,HEU,76.0901,1,524.0000,65.2203
VIDEO,33,MST,32.4919,1,519.0000,74.7325
AUDIO,33,DIR,0.0436,1,5134.0000,41.3493
AUDIO,33,HEU,68.5406,1,524.0000,65.2203
AUDIO,33,MST,14.1680,1,519.0000,74.7325
MESSAGING,33,DIR,0.0548,1,5134.0000,41.3493
MESSAGING,33,HEU,38.6906,1,524.0000,65.2203
MESSAGING,33,MST,15.1393,1,519.0000,74.7325
