content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,10,HEU,7.1106,1,656.3100,163.9632
VIDEO,10,ILP,1739189.6064,1,363.1550,70.3485
VIDEO,10,MST,10.5224,1,553.1550,84.1171
AUDIO,10,DIR,0.0200,1,2418.1550,64.0844
AUDIO,10,HEU,5.9636,1,736.4650,114.2859
AUDIO,10,ILP,1370239.6686,1,363.1550,70.3485
AUDIO,10,MST,9.0873,1,553.1550,84.1171
MESSAGING,10,DIR,0.0191,1,2418.1550,64.0844
MESSAGING,10,HEU,5.8637,1,656.3100,163.9632
MESSAGING,10,ILP,2847147.6452,1,363.1550,70.3485
MESSAGING,10,MST,14.0104,1,553.1550,84.1171
GAMING,10,DIR,0.0165,0,0.0000,0.0000
GAMING,10,HEU,0.8886,0,0.0000,0.0000
GAMING,10,ILP,DNF,0,-,-
GAMING,10,MST,29.9995,0,0.0000,0.0000
VIDEO,11,DIR,0.1404,1,2719.1550,62.1358
VIDEO,11,HEU,7.7653,1,767.3100,164.7111
VIDEO,11,ILP,2305618.4247,1,464.1550,68.0441
VIDEO,11,MST,10.8259,1,664.1550,80.2155
AUDIO,11,DIR,0.0207,1,2719.1550,62.1358
AUDIO,11,HEU,7.0210,1,845.4650,123.1059
AUDIO,11,ILP,2507834.7867,1,464.1550,68.0441
AUDIO,11,MST,20.7465,1,664.1550,80.2155
MESSAGING,11,DIR,0.0706,1,2719.1550,62.1358
MESSAGING,11,HEU,18.7342,1,767.3100,164.7111
MESSAGING,11,ILP,DNF,0,-,-
MESSAGING,11,MST,20.1869,1,664.1550,80.2155
GAMING,11,DIR,0.0479,0,0.0000,0.0000
GAMING,11,HEU,0.9847,0,0.0000,0.0000
GAMING,11,ILP,DNF,0,-,-
GAMING,11,MST,29.6416,0,0.0000,0.0000
VIDEO,12,DIR,0.1295,1,2719.1550,57.5770
VIDEO,12,HEU,8.5454,1,767.3100,148.8536
VIDEO,12,ILP,2336956.9056,1,464.1550,63.0451
VIDEO,12,MST,10.7062,1,664.1550,74.0131
AUDIO,12,DIR,0.0210,1,2719.1550,57.5770
AUDIO,12,HEU,7.7200,1,845.4650,114.9649
