content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
AUDIO,9,MST,12.2516,1,258.0000,90.1837
AUDIO,10,DIR,0.0181,1,643.0000,50.6082
AUDIO,10,HEU,9.7315,1,259.0000,73.1303
AUDIO,10,MST,12.0289,1,259.0000,85.7707
AUDIO,11,DIR,0.0277,1,769.0000,49.0478
AUDIO,11,HEU,10.7985,1,261.0000,78.1056
AUDIO,11,MST,12.1725,1,259.0000,85.7438
AUDIO,12,DIR,0.0513,1,894.0000,47.4435
AUDIO,12,HEU,11.5166,1,386.0000,73.8597
AUDIO,12,MST,12.2702,1,384.0000,80.8035
AUDIO,13,DIR,0.0498,1,1020.0000,48.0984
AUDIO,13,HEU,12.5163,1,386.0000,75.8713
AUDIO,13,MST,11.7369,1,384.0000,85.5128
AUDIO,14,DIR,0.0291,1,1150.0000,47.2607
AUDIO,14,HEU,14.5824,1,514.0000,72.8973
AUDIO,14,MST,12.5506,1,511.0000,86.5094
AUDIO,15,DIR,0.0479,1,1154.0000,47.3354
AUDIO,15,HEU,14.8795,1,517.0000,73.4862
AUDIO,15,MST,12.0475,1,513.0000,83.7817
AUDIO,16,DIR,0.0479,1,1156.0000,44.6001
AUDIO,16,HEU,16.3851,1,519.0000,69.0075
AUDIO,16,MST,12.1500,1,515.0000,78.6166
AUDIO,17,DIR,0.0396,1,1282.0000,45.7133
AUDIO,17,HEU,17.2966,1,521.0000,69.1123
AUDIO,17,MST,12.0885,1,516.0000,81.5622
AUDIO,18,DIR,0.0308,1,1408.0000,46.8778
AUDIO,18,HEU,18.1627,1,521.0000,70.6724
AUDIO,18,MST,11.6756,1,516.0000,81.7277
AUDIO,19,DIR,0.0744,1,1412.0000,46.5410
AUDIO,19,HEU,20.4120,1,521.0000,70.1735
AUDIO,19,MST,11.5926,1,516.0000,80.0516
AUDIO,20,DIR,0.0734,1,1538.0000,48.3975
AUDIO,20,HEU,21.1039,1,525.0000,69.8605
AUDIO,20,MST,11.8716,1,518.0000,81.1439
AUDIO,21,DIR,0.0277,1,1542.0000,48.0065
AUDIO,21,HEU,23.7229,1,525.0000,67.6182
AUDIO,21,MST,12.0730,1,518.0000,82.4998
AUDIO,22,DIR,0.0496,1,1544.0000,47.8612
AUDIO,22,HEU,23.9739,1,521.0000,80.0087
AUDIO,22,MST,12.5997,1,518.0000,88.0248
AUDIO,23,DIR,0.0610,1,1669.0000,47.1015
AUDIO,23,HEU,25.6727,1,646.0000,79.5325
AUDIO,23,MST,12.4204,1,643.0000,87.1843
AUDIO,24,DIR,0.0458,1,1673.0000,47.1239
AUDIO,24,HEU,26.3422,1,647.0000,75.8507
AUDIO,24,MST,12.3596,1,644.0000,85.7917
AUDIO,25,DIR,0.0656,1,1799.0000,46.6186
AUDIO,25,HEU,28.2953,1,647.0000,77.5098
AUDIO,25,MST,12.5911,1,644.0000,87.8353
AUDIO,26,DIR,0.0577,1,1925.0000,46.1328
AUDIO,26,HEU,30.5150,1,648.0000,78.3341
AUDIO,26,MST,12.7132,1,645.0000,89.5890
AUDIO,27,DIR,0.0520,1,2051.0000,46.4190
AUDIO,27,HEU,31.9731,1,648.0000,78.8639
AUDIO,27,MST,12.7344,1,646.0000,91.0956
AUDIO,28,DIR,0.0496,1,2176.0000,45.8859
AUDIO,28,HEU,31.6861,1,648.0000,78.5861
AUDIO,28,MST,12.7556,1,646.0000,90.3648
