content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,max_delay
VIDEO,6,DIR,0.2067,1,261.0000,66.6596
VIDEO,6,HEU,10.1500,1,134.0000,80.1274
VIDEO,6,ILP,66973.2928,1,132.0000,81.1728
VIDEO,6,MST,12.4779,1,133.0000,78.7508
VIDEO,12,DIR,0.0253,1,1021.0000,73.9776
VIDEO,12,HEU,20.4027,1,387.0000,98.6612
VIDEO,12,ILP,2153833.3514,1,384.0000,195.1158
VIDEO,12,MST,10.9134,1,385.0000,113.6078
VIDEO,18,DIR,0.0267,1,1283.0000,73.9776
VIDEO,18,HEU,18.7464,1,518.0000,105.0665
VIDEO,18,MST,13.2666,1,516.0000,125.4739
VIDEO,24,DIR,0.0420,1,1672.0000,73.9776
VIDEO,24,HEU,33.0870,1,519.0000,128.8467
VIDEO,24,MST,13.3619,1,518.0000,137.0329
VIDEO,30,DIR,0.0463,1,2427.0000,73.9776
VIDEO,30,HEU,42.9246,1,647.0000,131.6260
VIDEO,30,MST,13.3734,1,644.0000,138.5805
VIDEO,36,DIR,0.0548,1,2940.0000,80.5061
VIDEO,36,HEU,58.1491,1,648.0000,132.1576
VIDEO,36,MST,14.0867,1,647.0000,150.9312
VIDEO,42,DIR,0.0606,1,3452.0000,81.8154
VIDEO,42,HEU,72.2294,1,650.0000,151.6501
VIDEO,42,MST,14.9548,1,645.0000,155.1966
AUDIO,6,DIR,0.0181,1,261.0000,66.6596
AUDIO,6,HEU,5.6784,1,134.0000,80.1274
AUDIO,6,ILP,79434.7379,1,132.0000,81.1728
AUDIO,6,MST,11.5161,1,133.0000,78.7508
AUDIO,12,DIR,0.0238,1,1021.0000,73.9776
AUDIO,12,HEU,12.6324,1,387.0000,98.6612
AUDIO,12,ILP,1634284.8659,1,384.0000,115.1169
AUDIO,12,MST,12.0318,1,385.0000,113.6078
AUDIO,18,DIR,0.0346,1,1283.0000,73.9776
AUDIO,18,HEU,20.8046,1,518.0000,105.0665
AUDIO,18,MST,12.2590,1,516.0000,125.4739
AUDIO,24,DIR,0.0422,1,1672.0000,73.9776
AUDIO,24,HEU,32.6991,1,519.0000,128.8467
AUDIO,24,MST,12.6781,1,518.0000,137.0329
AUDIO,30,DIR,0.0439,1,2427.0000,73.9776
AUDIO,30,HEU,42.9845,1,647.0000,131.6260
AUDIO,30,MST,13.1855,1,644.0000,138.5805
AUDIO,36,DIR,0.0656,1,2940.0000,80.5061
AUDIO,36,HEU,56.9959,1,648.0000,132.1576
